11.00 25.01 0.09 23.47 24.90 27.23 3.77 222.22 289.20 33.50 24.62 1.18 0.28 0.90 1.15 1.49 0.60 9.53 5.12 5.80 3.07 0.74 0.55 20.35 0.48 11.89 0.70 -2.65 -2.66 1.76 3.40 0.02 1.18 1.31 0.67 3.21 1.21 2.74 3.32 25.00 0.31 466.62 0.27 1300.10 0.15 -87.98 -1.07 1457.75 0.11 1114.27 0.29 -95.97 -0.90 2371.46 0.13 1154.36 0.34 -99.70 -0.83 -16.06 -0.35 26.82 0.27 0.02 1.29 -0.02 -0.50 0.97 0.41 26.10 0.33 16.91 0.38 1.46 4.23 2.27 3.18 -5.19 14.27 0.00 -0.01 0.45 4.02 2.24 0.25 0.17 0.22 0.32 -24.42
11.00 23.41 0.44 14.39 17.79 30.58 16.20 241.44 268.30 188.95 338.84 0.73 1.06 0.15 0.19 1.61 1.46 13.77 7.78 11.61 6.80 0.57 1.19 33.73 0.39 19.77 0.46 -0.01 -1452.34 2.64 5.19 0.07 1.82 1.53 0.92 -0.83 -10.10 8.94 2.61 34.83 0.35 609.70 0.30 1430.77 0.14 -44.40 -1.45 1585.20 0.14 1138.97 0.28 -54.55 -1.06 2805.27 0.13 1072.96 0.43 -64.23 -0.85 -21.64 -0.27 33.71 0.23 -0.01 -4.32 -0.03 -0.43 0.64 1.14 35.11 0.30 19.75 0.48 -0.69 -13.52 1.63 8.92 -17.06 29.13 -0.04 -0.02 0.27 2.01 3.25 0.25 0.31 0.06 0.04 -22.11
11.00 21.60 0.45 14.34 17.26 27.32 12.97 87.51 71.40 85.47 75.23 0.75 1.09 0.15 0.22 1.32 1.17 12.02 9.41 8.41 4.99 0.69 1.20 36.23 0.35 16.37 0.55 1.24 8.21 4.58 2.86 0.08 1.89 1.72 0.71 -1.57 -4.79 6.34 2.60 35.25 0.35 592.85 0.31 1426.63 0.16 -38.79 -1.58 1554.87 0.15 1163.39 0.24 -48.88 -1.14 2719.73 0.15 1136.11 0.35 -59.80 -0.87 -21.50 -0.29 35.36 0.20 -0.02 -2.01 -0.03 -0.45 0.77 1.12 38.68 0.18 15.89 0.57 0.75 14.08 4.54 3.06 -12.40 23.60 -0.05 -0.02 0.20 1.61 1.83 0.47 0.64 0.08 0.08 -21.83
11.00 19.15 0.51 14.03 15.01 21.92 7.90 158.39 185.43 73.54 45.95 0.41 1.26 0.15 0.17 0.55 0.40 8.30 7.16 7.75 8.51 0.37 1.48 34.83 0.32 16.25 0.54 3.16 2.89 11.02 1.11 0.16 1.23 1.78 0.61 -4.54 -1.56 7.33 2.37 37.64 0.31 652.22 0.28 1446.77 0.15 -52.00 -1.27 1627.46 0.13 1150.60 0.28 -59.90 -1.01 2874.62 0.13 1052.54 0.38 -69.60 -0.81 -22.77 -0.27 35.51 0.23 -0.04 -0.84 -0.02 -0.39 0.40 1.51 37.66 0.22 17.22 0.51 3.74 2.64 9.31 1.32 -11.32 20.81 -0.03 -0.02 0.28 1.00 2.64 0.30 0.38 0.09 0.10 -25.79
11.00 18.87 0.48 14.02 15.60 20.20 6.18 289.73 344.81 82.03 36.74 0.30 1.54 0.15 0.16 0.22 0.07 1.49 0.82 3.31 1.58 0.27 1.31 39.16 0.14 16.43 0.45 1.68 4.43 9.42 1.07 0.09 1.56 1.72 0.67 -4.87 -1.38 6.78 2.81 37.01 0.35 621.94 0.28 1508.30 0.15 -54.33 -1.15 1592.39 0.13 1221.35 0.20 -62.02 -0.93 2828.04 0.13 1111.34 0.28 -72.23 -0.74 -23.37 -0.23 37.62 0.16 -0.04 -0.74 -0.02 -0.40 0.30 1.32 39.46 0.13 15.77 0.50 1.79 4.48 8.74 1.25 -24.90 38.69 -0.06 -0.02 0.17 0.40 4.88 0.16 0.18 0.04 0.01 -28.74
11.00 23.72 0.30 15.18 26.81 30.36 15.18 110.43 68.09 89.56 73.81 1.00 0.96 0.20 0.53 1.87 1.67 12.57 9.85 6.61 4.74 0.77 0.91 33.28 0.28 23.98 0.46 -6.60 -2.02 5.66 2.16 0.05 1.66 1.14 0.71 1.62 4.46 2.47 7.05 33.51 0.47 520.80 0.31 1422.87 0.16 -37.00 -1.75 1487.65 0.15 1190.92 0.32 -48.98 -1.22 2579.24 0.17 1313.78 0.47 -60.75 -0.91 -20.95 -0.32 36.04 0.21 0.00 10.03 -0.02 -0.44 0.86 0.83 34.40 0.24 24.72 0.43 -7.33 -1.87 4.17 2.93 -19.79 32.55 -0.05 -0.02 0.22 2.01 2.44 0.34 0.44 0.06 0.06 -19.30
11.00 17.42 0.24 14.20 15.64 22.11 7.91 188.36 251.40 113.73 171.90 0.25 0.71 0.15 0.16 0.33 0.18 2.70 2.74 9.12 16.90 0.24 0.80 37.16 0.24 21.08 0.31 4.16 1.62 10.23 0.73 0.11 1.28 1.66 0.73 -4.82 -1.02 4.10 4.24 38.11 0.30 629.84 0.26 1513.06 0.12 -38.24 -1.34 1622.26 0.11 1264.12 0.24 -51.04 -0.92 2871.21 0.11 1178.62 0.35 -61.25 -0.72 -25.16 -0.14 38.79 0.15 -0.04 -0.62 -0.02 -0.31 0.24 0.71 37.94 0.22 20.98 0.32 4.63 1.47 10.24 0.73 -23.77 36.53 -0.05 -0.02 0.26 1.20 3.25 0.26 0.22 0.04 0.01 -33.96
11.00 17.36 0.27 14.07 15.50 19.31 5.24 114.47 85.10 124.50 191.95 0.32 1.24 0.15 0.16 0.22 0.07 4.23 3.48 7.15 3.92 0.25 0.87 37.79 0.17 18.86 0.28 5.92 1.56 12.63 0.66 0.13 1.43 1.67 0.71 -5.23 -1.25 7.03 2.91 36.56 0.29 609.41 0.30 1489.40 0.13 -45.96 -1.30 1588.32 0.12 1200.08 0.28 -57.31 -0.95 2791.95 0.13 1158.20 0.41 -66.12 -0.78 -23.76 -0.16 36.30 0.20 -0.04 -0.92 -0.02 -0.36 0.27 0.87 37.58 0.18 19.10 0.29 6.23 1.58 12.43 0.70 -24.98 39.01 -0.05 -0.02 0.16 0.60 3.25 0.25 0.26 0.06 0.02 -29.37
11.00 15.43 0.21 13.50 14.59 16.11 2.61 99.58 119.95 65.39 48.85 0.27 1.71 0.15 0.16 0.17 0.02 16.27 11.50 1.97 0.00 0.25 1.43 37.17 0.22 19.28 0.21 3.73 0.83 9.36 0.59 0.12 1.13 1.85 0.71 -7.29 -0.57 6.28 3.95 39.25 0.36 712.20 0.23 1497.11 0.13 -60.79 -1.06 1682.77 0.11 1220.84 0.20 -70.10 -0.85 2997.43 0.10 1119.81 0.30 -79.75 -0.70 -24.85 -0.18 38.69 0.18 -0.06 -0.37 -0.02 -0.28 0.26 1.52 37.41 0.20 19.22 0.21 3.56 0.88 9.14 0.66 -24.73 38.89 -0.06 -0.02 0.20 0.20 5.31 0.14 0.14 0.04 0.02 -29.51
11.00 21.43 0.44 14.04 16.44 27.29 13.25 94.14 73.76 62.81 41.27 0.53 1.29 0.15 0.20 0.86 0.71 14.00 11.14 10.17 8.40 0.45 1.16 38.26 0.16 16.27 0.59 3.66 1.63 7.35 1.43 0.05 1.84 1.36 0.72 -1.98 -4.30 6.45 2.08 35.41 0.31 581.16 0.36 1440.45 0.15 -73.65 -1.08 1537.72 0.14 1191.74 0.19 -80.56 -0.91 2707.89 0.16 1156.10 0.39 -89.00 -0.77 -22.61 -0.30 36.55 0.22 -0.03 -1.21 -0.02 -0.49 0.57 1.03 38.16 0.18 16.66 0.66 3.73 1.83 5.87 2.01 -23.99 39.42 -0.07 -0.02 0.19 1.41 4.26 0.15 0.21 0.07 0.06 -24.11
11.00 22.53 0.45 14.03 20.75 28.63 14.60 239.79 277.74 175.45 231.44 0.73 1.38 0.15 0.21 1.21 1.06 22.42 14.87 19.36 27.13 0.74 1.34 36.49 0.27 16.75 0.53 5.11 2.03 7.41 1.73 0.05 2.41 1.61 0.60 -1.49 -5.15 13.62 1.96 33.56 0.40 579.87 0.33 1404.07 0.18 -62.42 -1.20 1574.99 0.15 1131.84 0.28 -70.39 -0.96 2703.84 0.15 1111.82 0.46 -77.22 -0.84 -21.92 -0.33 34.84 0.25 -0.03 -1.81 -0.03 -0.38 0.89 1.23 36.93 0.22 16.01 0.61 5.25 2.10 6.35 2.16 -23.28 37.45 -0.06 -0.02 0.33 1.81 4.67 0.15 0.18 0.06 0.05 -20.50
11.00 14.33 0.10 13.31 14.05 14.98 1.67 91.43 74.69 69.54 65.29 0.17 0.12 0.15 0.16 0.18 0.02 0.91 0.87 0.72 1.27 0.19 0.27 37.36 0.12 18.04 0.21 4.70 0.86 10.90 0.38 0.11 0.72 2.44 0.73 -8.59 -0.39 4.83 7.38 35.51 0.63 701.90 0.26 1586.55 0.11 -90.10 -0.87 1702.24 0.11 1329.20 0.19 -97.23 -0.75 2995.20 0.09 1178.21 0.28 -104.79 -0.64 -25.71 -0.12 40.83 0.09 -0.07 -0.24 -0.02 -0.35 0.19 0.30 37.00 0.14 18.29 0.22 5.23 0.85 11.37 0.36 -26.05 41.90 -0.07 -0.02 0.19 2.21 5.69 0.10 0.07 0.07 0.04 -42.00
11.00 20.04 0.31 14.71 17.18 28.55 13.84 124.40 104.07 90.75 82.67 0.55 1.16 0.15 0.17 1.06 0.91 13.65 10.59 11.01 3.02 0.59 1.17 37.63 0.21 20.35 0.36 2.21 3.33 7.38 1.70 0.05 1.25 1.76 0.65 -2.33 -2.88 4.68 5.29 36.54 0.43 633.02 0.31 1481.30 0.16 -35.46 -1.46 1584.70 0.15 1255.19 0.24 -48.61 -0.97 2802.46 0.14 1095.40 0.33 -58.64 -0.75 -24.20 -0.22 37.33 0.19 -0.02 -2.20 -0.02 -0.49 0.65 1.11 37.89 0.21 20.49 0.36 2.20 3.54 6.75 1.95 -23.89 38.04 -0.06 -0.02 0.19 1.81 3.07 0.28 0.52 0.04 0.03 -23.13
11.00 16.58 0.22 14.11 15.37 17.88 3.77 95.15 68.79 176.02 233.03 0.20 0.50 0.15 0.16 0.24 0.09 1.74 0.74 2.11 1.45 0.20 0.45 36.11 0.19 19.56 0.31 4.80 1.48 12.29 0.59 0.13 1.30 1.91 0.57 -5.71 -0.88 10.16 2.41 38.96 0.26 716.77 0.22 1487.77 0.11 -45.78 -1.22 1698.31 0.09 1232.08 0.28 -55.52 -0.94 2968.75 0.10 1092.98 0.36 -65.27 -0.75 -25.01 -0.16 38.39 0.14 -0.06 -0.40 -0.02 -0.29 0.20 0.44 36.24 0.19 19.52 0.33 5.15 1.45 11.98 0.60 -25.60 39.43 -0.06 -0.02 0.20 1.61 3.46 0.24 0.34 0.04 0.03 -39.37
